,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,kernel_initializer,last_activation,losses,optimizer
107,60,0.006991836881693483,0.9972267746925354,0.9972330927848816,0.009942172375546593,0.9967836737632751,0.9968260526657104,elu,128,0.2,60,28,normal,softmax,categorical_crossentropy,Adam
108,30,0.0025566077061260407,0.9965742230415344,0.9958475232124329,0.002809484882984281,0.9955251216888428,0.9955052137374878,elu,30,0.0,30,16,normal,sigmoid,mean_squared_error,adadelta
109,20,0.0048313119726727085,0.9902936220169067,0.9903592467308044,0.005115605249784908,0.9911201000213623,0.9911746382713318,relu,60,0.1,20,22,uniform,sigmoid,mean_squared_error,adadelta
110,20,0.011458908017803755,0.9954323172569275,0.7047258019447327,0.01704313313876844,0.9934974312782288,0.7078925371170044,relu,128,0.2,20,28,normal,sigmoid,categorical_crossentropy,Nadam
111,50,0.0016616165617839426,0.9973899126052856,0.9973549842834473,0.0023591867036603827,0.9960495233535767,0.9960583448410034,elu,128,0.1,50,34,uniform,softmax,mean_squared_error,adadelta
112,20,0.005251151429177285,0.9982055425643921,0.998207151889801,0.007236982645082105,0.9974828958511353,0.9974846839904785,elu,30,0.1,20,34,uniform,softmax,categorical_crossentropy,Nadam
113,50,0.004224543322673824,0.999102771282196,0.9990639686584473,0.005441439845617793,0.9986715316772461,0.9986746907234192,elu,128,0.0,50,10,normal,softmax,categorical_crossentropy,Nadam
114,40,0.009614572722710164,0.9958401322364807,0.6611869931221008,0.009436647584315574,0.9968186020851135,0.6620541214942932,elu,60,0.0,40,10,normal,sigmoid,categorical_crossentropy,Adam
115,50,0.0032542047360406804,0.9939641356468201,0.9933639168739319,0.0037544207471555367,0.9938120245933533,0.9934098124504089,elu,128,0.1,50,22,uniform,sigmoid,mean_squared_error,Adam
116,50,,0.35676997900009155,,,0.3498811423778534,,elu,128,0.2,50,22,uniform,sigmoid,categorical_crossentropy,Nadam
117,40,0.003123200306521507,0.9990212321281433,0.7538745403289795,0.0030122684931428185,0.9993007779121399,0.7112951874732971,relu,128,0.0,40,22,uniform,sigmoid,categorical_crossentropy,Nadam
